,Atorvastatin,,Fluvastatin,,Lovastatin,,Pravastatin,,Simvastatin,
Category,n,(%),n,(%),n,(%),n,(%),n,(%)
Randomized to Treatment,1958,,497,,498,,481,,482,
Did Not Complete Treatment,,,,,,,,,,
Phase,267,(13.6),120,(24.1),91,(18.3),92,(19.1),84,(17.4)
Reason Did Not Complete,,,,,,,,,,
Adverse Event,129,(6.6),64,(12.9),42,(8.4),20,(4.2),39,(8.1)
Other/Administrative Reasons,138,(7.0),56,(11.3),49,(9.8),72,(15.0),45,(9.3)
Completed Treatment Phase,1691,(86.4),377,(75.9),407,(81.7),389,(80.9),398,(82.6)
Completed Study Week,,,,,,,,,,
Week 6,1907,(97.4),481,(96.8),480,(96.4),466,(96.9),468,(97.1)
Week 12,1860,(95.0),464,(93.4),461,(92.6),451,(93.8),450,(93.4)
Week 18,1826,(93.3),449,(90.3),450,(90.4),436,(90.6),435,(90.2)
Week 24,1788,(91.3),421,(84.7),436,(87.6),425,(88.4),424,(88.0)
Week 30,1761,(89.9),404,(81.3),426,(85.5),418,(86.9),415,(86.1)
Week 42,1740,(88.9),387,(77.9),415,(83.3),401,(83.4),406,(84.2)
Week 54,1699,(86.8),378,(76.1),408,(81.9),391,(81.3),399,(82.8)