,Events (% per annum),,Observed-expected,,Rate ratio (CI)
,Statin,Placebo,o-e,var(o-e),
Low-intensity or moderate-intensity statin,(n=39179),(n=39266),,,
Diabetes-related adverse events,1224 (0.7),1153 (0.6),32.3,594.1,1.06 (99% CI 0.95-1.17)
Diabetes determined from co-medication,764 (0.4),680 (0.4),40.2,357.0,1.12 (99% CI 0.98-1.28)
Subtotal: diabetes-related adverse events and co-medication,1523 (0.8),1396 (0.8),60.3,728.6,1.09 (95% CI 1.01-1.17)
Biochemically determined diabetes,1497 (0.8),1369 (0.8),67.7,715.8,1.10 (99% CI 1.00-1.21)
Any new-onset diabetes,2420 (1.3),2214 (1.2),106.8,1156.8,1.10 (95% CI 1.04-1.16)
High-intensity statin,(n=9935),(n=9859),,,
Diabetes-related adverse events,246 (0.9),174 (0.7),37.0,105.0,1.42 (99% CI 1.11-1.83)
Diabetes determined from co-medication,198 (0.8),159 (0.6),20.1,89.2,1.25 (99% CI 0.95-1.64)
Subtotal: diabetes-related adverse events and co-medication,297 (1.1),229 (0.9),35.1,131.5,1.31 (95% CI 1.10-1.55)
Biochemically determined diabetes,1078 (4.1),788 (3.0),149.3,465.7,1.38 (99% CI 1.22-1.55)
Any new-onset diabetes,1221 (4.8),905 (3.5),163.9,530.8,1.36 (95% CI 1.25-1.48)